Model,Scenario,MAE,RMSE,Num_Features
RF,1. Case Attributes (Baseline),194.30726152295648,219.9847440129785,6
RF,2. Control Flow: Events (Freq + State),233.03577602572966,256.5592573581291,57
RF,3. Control Flow: Clusters,237.09493535384624,261.14971322700734,17
RF,4. Control Flow: Last Two,214.6989427953693,238.9574146671892,8
RF,5. Full Control Flow,232.8908740976511,257.43868538892303,69
RF,6. Temporal Features,277.6592149192349,303.75150366255593,8
RF,7. Workload Features,187.29316621837424,211.93984921121452,7
RF,8. All Features,253.79399093686177,276.6321982787685,74
XGB,1. Case Attributes (Baseline),193.28312517956888,214.92491407940432,6
XGB,2. Control Flow: Events (Freq + State),232.79503745351894,256.74099397876824,57
XGB,3. Control Flow: Clusters,239.49435732736075,262.92851007357433,17
XGB,4. Control Flow: Last Two,212.0428733501331,237.72253600114723,8
XGB,5. Full Control Flow,231.40127204340988,255.52017399744136,69
XGB,6. Temporal Features,271.3290577231314,293.93263039023367,8
XGB,7. Workload Features,198.6771916235594,219.97548093664003,7
XGB,8. All Features,249.49531689303976,273.29342908631077,74
